id,text,user_listed_count,user_favourites_count,user_followers_count,user_friends_count,geo_coords,place_coords,place_name,created_at,user_name,source,user_statuses_count,user_id,user_location,user_description,user_screen_name,retweet_count,hashtag
951967092512669696,@hiconversation @TulsiPress Thank you. ,3,3051,684,1851,,"[[-158.180289,21.399615],[-158.180289,21.429929],[-158.136609,21.429929],[-158.136609,21.399615]]",Maili,2018-01-13 00:00:16,MX,Twitter for iPad,5705,337821005,"Waianae, HI","True Progressive. Done with organized politics until a third party representing ALL people, (not corporate America) is established. Bernie got robbed by the DNC",mxpalazzo,0,
951967163933274112,@iAmJamon Dayum guhhh lol my sad ,1,15468,1355,768,,"[[-158.030114,21.426592],[-158.030114,21.465962],[-157.992829,21.465962],[-157.992829,21.426592]]",Mililani Town,2018-01-13 00:00:33,🍯,Twitter for iPhone,14848,815820300377944064,O'AHU,"gotta ting for a king, but u ain’t a king ✨🥀♋️ 23 • uni. of utah alumni • 5’5 polynesian trouble",sweetlikesulia,0,
951967428828741632,Welp. @MJD and @89JonesNTAF should lose their job as “experts”. Picking against New England at home after 2 weeks off to pick the god damn titans is dogshit ,38,67910,960,772,,"[[-157.862463,21.424797],[-157.862463,21.455791],[-157.807145,21.455791],[-157.807145,21.424797]]",Ahuimanu,2018-01-13 00:01:36,#InQuinnWeTrust,Twitter for iPhone,119659,297639393,"Hawaii, USA",JT was short. Lions. Tigers. Red Wings. Pistons. #DetroitVsEverybody,j_Borders,0,
951967492628361216,@TommyBeeswax Trendy. But he has more of an argument than luck. ,38,67910,960,772,,"[[-157.862463,21.424797],[-157.862463,21.455791],[-157.807145,21.455791],[-157.807145,21.424797]]",Ahuimanu,2018-01-13 00:01:51,#InQuinnWeTrust,Twitter for iPhone,119660,297639393,"Hawaii, USA",JT was short. Lions. Tigers. Red Wings. Pistons. #DetroitVsEverybody,j_Borders,0,
951967591215452160,I’m still Jet lack 🤦‍♀️ haven’t even unpacked my suit cases yet 😂 ,0,2560,123,238,,"[[-158.018703,21.390995],[-158.018703,21.415112],[-157.991593,21.415112],[-157.991593,21.390995]]",Waikele,2018-01-13 00:02:15,Bernina Asuega👑,Twitter for iPhone,2215,701256750138142720,,💕| Hoyt 🤞🏻❤️|,Mama_Neeenz_15,0,
951967980253986816,Work stresses me out.. I’m in need of a booze cruise. ⛴🍻 ,1,3963,392,420,,"[[-158.090162,21.478503],[-158.090162,21.505599],[-158.039537,21.505599],[-158.039537,21.478503]]",Schofield Barracks,2018-01-13 00:03:47,Melissa Alaniz,Twitter for iPhone,2168,2992923914,"Hawaii, USA","I ain't here for a long time, I'm here for a good time. |United States Army| 🙏🇺🇸❤️",Mel_Money06,0,
951968192515076096,Why do people go back to the thing/person that hurt them likeeee what you thinking ,0,3049,148,163,,"[[-155.184552,19.656471],[-155.184552,19.738955],[-154.990994,19.738955],[-154.990994,19.656471]]",Hilo,2018-01-13 00:04:38,Kacie,Twitter for iPhone,756,4138685654,"Hilo, HI",,kacieetagg,0,
951968262929113089,Have to take the 3 hour glucose test next week 😭 please pray it’s not gestational diabetes 🙌🏻 ,2,1096,277,444,,"[[-158.090162,21.478503],[-158.090162,21.505599],[-158.039537,21.505599],[-158.039537,21.478503]]",Schofield Barracks,2018-01-13 00:04:55,Natasha Enos,Twitter for iPhone,7106,80978667,"Hawaii, USA",living in paradise 🌴 married to my high school sweetie ❤️ and impatiently awaiting the arrival of our little one March 2018 🍼,tasha71709,0,
951968303743868929,fingers crossed 🤞🤞🤞 ,19,56987,682,418,,"[[-156.500605,20.848879],[-156.500605,20.90097],[-156.451278,20.90097],[-156.451278,20.848879]]",Kahului,2018-01-13 00:05:04,💛KAMA,Twitter for iPhone,49722,45289669,Made on Maui,you’re cold. and i burn,loveKamalani,0,
951968317199273984,#MiniHoneyMoon #BigIslandTrip I had to take a Jeep esperanzaa_0625 (had to) @ Hawaii https://t.co/kzXrUqPLP1 ,1,27,23,66,"21.31138889,-157.79638889","[[-157.950476,21.254837],[-157.950476,21.38505],[-157.648702,21.38505],[-157.648702,21.254837]]",Honolulu,2018-01-13 00:05:08,Nestor,Instagram,166,2457516181,United States,,nemmfi,0,MiniHoneyMoon; BigIslandTrip
951968344583823361,"Sitting in the drs office and the receptionist is on the phone telling someone to call pcp, seems like sound medical advice 👌😂 pretty sure they aren’t referring them to drugs🤣 ",17,5024,637,688,,"[[-157.96614,21.37939],[-157.96614,21.428691],[-157.907975,21.428691],[-157.907975,21.37939]]",Waimalu,2018-01-13 00:05:14,Katie Snyder,Twitter for iPhone,8747,79624147,Honolulu HI,✨✨Don't let anyone dull your SPARKLE✨✨ business inquires:ksnyder157@gmail.com http://www.katieAsnyder.com,katiesnyder157,0,
