id,text,user_listed_count,user_favourites_count,user_followers_count,user_friends_count,geo_coords,place_coords,place_name,created_at,user_name,source,user_statuses_count,user_id,user_location,user_description,user_screen_name,retweet_count,hashtag
820058091899097088,"Probabaly one of the worst end and start of a new year ever. Rest In Peace papa, kaisha and uncle sonny 💙💙 ",1,2037,531,519,,"[[-156.5369,20.860213],[-156.5369,20.916384],[-156.480503,20.916384],[-156.480503,20.860213]]",Wailuku,2017-01-14 00:00:59,brianne cremer,Twitter for iPhone,2228,2974710300,,,briiimc,0,
820058778364063745,Really can't wait till she comes back tho omg ,0,1199,144,160,,"[[-157.943639,21.374177],[-157.943639,21.421297],[-157.85149,21.421297],[-157.85149,21.374177]]",Aiea,2017-01-14 00:03:43,Keli'i Kaheaku,Twitter for iPhone,1786,1056701564,"Aiea, HI",,Kelii_bruh,0,
820058727021559808,First time in a while burning in this car without my grandma 😭😭 ,0,1199,144,160,,"[[-157.943639,21.374177],[-157.943639,21.421297],[-157.85149,21.421297],[-157.85149,21.374177]]",Aiea,2017-01-14 00:03:31,Keli'i Kaheaku,Twitter for iPhone,1785,1056701564,"Aiea, HI",,Kelii_bruh,0,
820058744201637888,This is how the Milky Way was made right? .....#coffeeshots #thetrendybarista… https://t.co/cEKRGd1a5V ,63,1962,303,522,"19.65,-155.994","[[-156.008921,19.615529],[-156.008921,19.71363],[-155.961578,19.71363],[-155.961578,19.615529]]",Kailua,2017-01-14 00:03:35,Nha Ha,Instagram,4783,37175031,Palo Alto,"@calpoly alumnus. Photographer, techie and foodie. Trying everything in order to find the bright and the best.",Nhaha1,0,coffeeshots; thetrendybarista
820058694759174144,Still craving Slurpees! @ 7-11 Downtown Bishop Street https://t.co/Vy81Q0DLAk ,569,937,14978,4512,"21.30928901,-157.86054413","[[-157.950476,21.254837],[-157.950476,21.38505],[-157.648702,21.38505],[-157.648702,21.254837]]",Honolulu,2017-01-14 00:03:23,Catherine Toth Fox,Instagram,45375,32535143,"O‘ahu, Hawai‘i","Eats, travels, hikes, surfs — and lives to blog about it. Day job: Food Editor and Writer, HONOLULU Magazine.",thedailydish,0,
820059083206033408,All my makeup so slowly going missing idgi 🤔 ,3,6898,524,398,,"[[-157.96614,21.37939],[-157.96614,21.428691],[-157.907975,21.428691],[-157.907975,21.37939]]",Waimalu,2017-01-14 00:04:56,🌸,Twitter for iPhone,22332,846742988,,"when the praises go up, the blessings come down",sassysouza,0,
820058914259505152,@JayzTwoCents In the house? Or are you going to rent an office type space? ,0,131,10,45,,"[[-158.030114,21.426592],[-158.030114,21.465962],[-157.992829,21.465962],[-157.992829,21.426592]]",Mililani Town,2017-01-14 00:04:15,zachary nelson,Twitter Web Client,94,751467207595548672,,Computers and video games,NelsonZteknon,0,
820058943569309698,Wevideo https://t.co/4bnl5McuEi ,1,0,0,0,,"[[-155.184552,19.656471],[-155.184552,19.738955],[-154.990994,19.738955],[-154.990994,19.656471]]",Hilo,2017-01-14 00:04:22,Loke Kamanu,Twitter for Android,5,820052306477518848,,,KamanuLoke,0,
820059266736357376,Drinking a Suck 'em Up Session IPA by @MauiBrewingCo at @mauibrewingco — https://t.co/0C6hyJtV7S ,89,755,1753,1334,"20.7494,-156.438","[[-178.443593,18.86546],[-178.443593,28.517269],[-154.755792,28.517269],[-154.755792,18.86546]]",Hawaii,2017-01-14 00:05:39,Jeff Scott,Untappd,2176,3150311,San Francisco bar stools,"Post-Belgian beer lover and beer traveler. Tech editor by day (@TheAppivore), beer drinker by night. Obsessed with taking odd pictures of beer.",beergeek,0,
820059148217942016,lowkey irritated. ,0,1237,104,88,,"[[-156.351318,20.846325],[-156.351318,20.885563],[-156.313427,20.885563],[-156.313427,20.846325]]",Haliimaile,2017-01-14 00:05:11,leila marie❥,Twitter for iPhone,3303,3285793452,nrdaguio❤️,"caught between a strong mind, and a fragile heart.",LeilaBantolina,0,
820059589068537857,Don't bite the hand that feeds you ,6,2804,52,73,,"[[-158.035743,21.349278],[-158.035743,21.376145],[-158.016301,21.376145],[-158.016301,21.349278]]",West Loch Estate,2017-01-14 00:06:56,J Friday🌻,Twitter for iPhone,1383,39373401,"Hawaii, USA",I like adventures 🎈,joannajenevieve,0,
820059484131201024,@shaaa_yyyla is she ok???? ,0,572,50,82,,"[[-157.862463,21.424797],[-157.862463,21.455791],[-157.807145,21.455791],[-157.807145,21.424797]]",Ahuimanu,2017-01-14 00:06:31,Aleta Lindsay,Twitter for iPhone,497,4588074384,,,algateway,0,
820059975128973313,@teeehya_ shook.... I guess ,0,1888,217,96,,"[[-157.765901,21.352946],[-157.765901,21.428447],[-157.705775,21.428447],[-157.705775,21.352946]]",Kailua,2017-01-14 00:08:28,j.yung,Twitter for iPhone,4193,2519848418,,,jaaasmine_x,0,
820059966807502849,Having to sit naked on the toilet because you're wearing a romper🙄 ,0,28641,468,475,,"[[-158.048025,21.321044],[-158.048025,21.350693],[-158.004882,21.350693],[-158.004882,21.321044]]",Ewa Gentry,2017-01-14 00:08:26,abbygale doldolea,Twitter for iPhone,2857,2390692891,O'ahu Hawai'i,Hawai'i Grown,abbydoldolea,0,
820060210576228356,Pumping up our friYAY with some Cardio Circuit Challenge! https://t.co/uRr5dYeVWQ ,6,10,175,127,,"[[-157.854542,21.321379],[-157.854542,21.321379],[-157.854542,21.321379],[-157.854542,21.321379]]",Rehabilitation Hospital of the Pacific,2017-01-14 00:09:24,REHAB Hospital,Twitter for iPhone,471,220100600,"Honolulu, Hawaii",Rebuilding Lives Together,RehabHospital,0,
820060541678780416,When your art class starts giving you life lessons and gets you in your feels 🙃💯 ,7,26640,424,499,,"[[-158.048025,21.321044],[-158.048025,21.350693],[-158.004882,21.350693],[-158.004882,21.321044]]",Ewa Gentry,2017-01-14 00:10:43,Dobbs,Twitter for iPhone,18411,2357137790,United States,Cul,dcoopes_,0,
820060839856066560,Honeymizzled #Kapalua #Maui https://t.co/DUj9McCvAU ,15,14226,544,606,,"[[-156.666402,20.999116],[-156.666402,20.999116],[-156.666402,20.999116],[-156.666402,20.999116]]",Kapalua Bay,2017-01-14 00:11:54,sarah elizabeth,Twitter for iPhone,7795,466175810,L. A.,Married to my Twitter crush. 🔥,pueswow,0,Kapalua; Maui
820060748009373696,@PatagoniaHawaii tomorrow night join deepwatersurf and the crew for a night of good times and… https://t.co/A4seBi7Lqx ,12,23,172,31,"21.58617047,-158.10285668","[[-158.120284,21.575585],[-158.120284,21.622734],[-158.080425,21.622734],[-158.080425,21.575585]]",Haleiwa,2017-01-14 00:11:32,SCH,Instagram,3272,1132282178,hawaii,,sstnblcstlns,0,
820060919589801984,From phone to computer and vice versa https://t.co/nXoVZVfMg0 ,1,0,0,0,,"[[-155.184552,19.656471],[-155.184552,19.738955],[-154.990994,19.738955],[-154.990994,19.656471]]",Hilo,2017-01-14 00:12:13,Loke Kamanu,Twitter for Android,6,820052306477518848,,,KamanuLoke,0,
820060942209728512,Happy Aloha Friday! ,16,1535,421,291,,"[[-155.975528,19.550285],[-155.975528,19.602446],[-155.938111,19.602446],[-155.938111,19.550285]]",Keauhou,2017-01-14 00:12:19,Fair Wind Cruises,Twitter Web Client,910,419817064,"Kailua-Kona, HI",Award-Winning Snorkeling Cruises along the Big Island of Hawaii 's  Kona Coast - Since 1971    #fairwindcruises 808-322-2788,FairWindHI,0,
820060884303286272,Hah! REJECTED HCTIB 😼😼😼 you thought! 😹😹😹#TIMYInYourFace https://t.co/0a3v6n7Cv0 ,26,35281,717,314,,"[[-158.090772,21.323228],[-158.090772,21.365894],[-158.048087,21.365894],[-158.048087,21.323228]]",Kapolei,2017-01-14 00:12:05,👑rcхjĸ💙,Put your button on any page!,88940,92711659,pнιlιppιneѕ♥️,jadιne&вaιlona&мcrιѕ | calιғornιa💚,kjcxrasalan,0,TIMYInYourFace
820060908823216133,aloha_bakehouse BBQ Hamburger Steak plate! #AlohaBakehouseBBQ #CheatDay #LocalKineGrindz… https://t.co/f38P2zDYru ,59,711,647,622,"21.2968,-157.85202","[[-157.950476,21.254837],[-157.950476,21.38505],[-157.648702,21.38505],[-157.648702,21.254837]]",Honolulu,2017-01-14 00:12:11,Jason M. Nishimura,Instagram,14984,41039648,"Honolulu, Hawaii",Digital Media Specialist - Auto Gearhead - Moderate Health Nut,jnishimura,0,AlohaBakehouseBBQ; CheatDay; LocalKineGrindz
820061283286274048,We are here!! #hawaii #family #paradise https://t.co/QnGbFK7EoP ,210,11263,35938,5246,,"[[-155.991139,19.826828],[-155.991139,19.826828],[-155.991139,19.826828],[-155.991139,19.826828]]",Four Seasons Resort Hualalai at Historic Ka`upulehu,2017-01-14 00:13:40,Jesper Parnevik,Twitter for iPhone,4819,1141136372,"Tequesta, FL","Player on the PGA Tour. Proud member of the Cobra,Puma family.4 great kids and married to my great wife Mia. We also have our own TV show called #Parneviks",JesperParnevik,0,hawaii; family; paradise
820061595866775552,Dude hummus is so tight ,1,15933,847,431,,"[[-158.090772,21.323228],[-158.090772,21.365894],[-158.048087,21.365894],[-158.048087,21.323228]]",Kapolei,2017-01-14 00:14:55,izzy,Twitter for iPhone,6954,2357004048,"Kapolei, HI",I do wat I lyk,izzypfuller,0,
