id,created_at,geo_coords,hashtag,place_coords,place_name,retweet_count,source,text,user_description,user_favourites_count,user_followers_count,user_friends_count,user_id,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count
970079587932676096,2018-03-03 23:32:51,"19.719497, -155.082568",job; Hilo; CustomerService; Hiring; CareerArc,"[[-155.184552, 19.656471], [-155.184552, 19.738955], [-154.990994, 19.738955], [-154.990994, 19.656471]]",Hilo,0,TweetMyJOBS,"Can you recommend anyone for this #job in #Hilo, HI? https://t.co/IbziMBifEE #CustomerService #Hiring #CareerArc",Follow this account for geo-targeted Customer Service job tweets in Hawaii Non-Metro. Need help? Tweet us at @CareerArc!,0,291,0,71968934,25,Hawaii,HI Cust. Srv. Jobs,tmj_HI_cstsrv,128
970078905175453697,2018-03-03 23:30:08,"19.639994, -155.996926",job; KailuaKona; Transportation; Hiring; CareerArc,"[[-156.008921, 19.615529], [-156.008921, 19.71363], [-155.961578, 19.71363], [-155.961578, 19.615529]]",Kailua,0,TweetMyJOBS,"Interested in a #job in #KailuaKona, HI? This could be a great fit: https://t.co/q68Bm96Anv #Transportation #Hiring #CareerArc",Follow this account for geo-targeted Transportation job tweets in Hawaii Non-Metro. Need help? Tweet us at @CareerArc!,0,292,0,149759558,8,Hawaii,TMJ-HI Transport.,tmj_HI_transp,19
970078270552268801,2018-03-03 23:27:37,"19.501000, -154.953000",love; lunch; photooftheday; yummy; tacos; vegantacos,"[[-154.964517, 19.483084], [-154.964517, 19.517724], [-154.924167, 19.517724], [-154.924167, 19.483084]]",Pahoa,0,Instagram,A healthy lunch is a happy lunch 🌮 😋  #love #lunch #photooftheday #yummy #tacos #vegantacos… https://t.co/v7f5xJKcei,Yoga-Detox-Meditation-dōTERRA-Plant Based Nutrition-Beauty-Horizontal Horizons,398,476,0,461749019,7,Duval,Sacred Cow Living,Indica_Honey,1758
970078225798803456,2018-03-03 23:27:26,,,"[[-156.008921, 19.615529], [-156.008921, 19.71363], [-155.961578, 19.71363], [-155.961578, 19.615529]]",Kailua,0,Twitter for iPhone,@ledddie thank you,i brought the love,30413,1153,0,313673764,10,"Kailua-Kona, HI | Ft Wayne, IN",LOVE,ChaseFromHawaii,69358
970076567840829440,2018-03-03 23:20:51,,,"[[-155.184552, 19.656471], [-155.184552, 19.738955], [-154.990994, 19.738955], [-154.990994, 19.656471]]",Hilo,0,Twitter for iPhone,"Can the sickness just go away please, I’d really like to have one day where I feel okay","ᴡʜᴇɴ ʏᴏᴜ ғɪɴᴅ ʏᴏᴜʀ sᴏᴜʟᴍᴀᴛᴇ, ɴᴏʙᴏᴅʏ ᴇʟsᴇ ᴍᴀᴛᴛᴇʀs. ᴄʜᴀsᴇ ʏ👫💖| ᴊᴀᴇᴅᴇɴ ᴊᴏʜɴ👩‍👦💚",349,78,0,2612815092,0,,AshleyLeiko,ashley_leiko,2122
970075790082637825,2018-03-03 23:17:46,,,"[[-155.040129, 19.622432], [-155.040129, 19.622432], [-155.040129, 19.622432], [-155.040129, 19.622432]]",Ace Hardware,0,Twitter for iPhone,"Found this in Ace, Keaau. Do they know something I don’t? Cause there aren’t supposed to be snakes in Hawaii. https://t.co/klVXeWA5Eh","Waiʻanae, Oʻahu • Puna, Moku O Keawe || Teacher • Ke Kula ʻO Nāwahīokalaniʻōpuʻu",158,19,0,943349619861458944,0,"Waikahekahe, Puna, Hawaiʻi",keone94,searider_94,94
970074899799773185,2018-03-03 23:14:13,"19.705500, -155.086000",hiang; airforce; freetrip,"[[-155.184552, 19.656471], [-155.184552, 19.738955], [-154.990994, 19.738955], [-154.990994, 19.656471]]",Hilo,0,Instagram,"Went to Hilo for the day #hiang #airforce #freetrip @ Hilo, Hawaii https://t.co/TisdyVaqEI","A wise man once said - if you can do it good, you can do it right. -Gassymexican",3612,471,0,595019108,3,"honolulu, hawaii",Cody Fox,badfox28,2135
970073572222922752,2018-03-03 23:08:57,,,"[[-155.184552, 19.656471], [-155.184552, 19.738955], [-154.990994, 19.738955], [-154.990994, 19.656471]]",Hilo,0,Twitter for iPhone,This is what I got back 😂😂😂😂 https://t.co/rVoSpN6Xl3,"She is clothed with strength and dignity, and laughs without fear of the future.",6462,193,0,420069917,0,"Hilo, HI",Carol Ross,carolehua,5816
970073558729805825,2018-03-03 23:08:54,,,"[[-155.184552, 19.656471], [-155.184552, 19.738955], [-154.990994, 19.738955], [-154.990994, 19.656471]]",Hilo,0,Twitter for iPhone,I sent this to people on my sc💕😊&amp;...... https://t.co/qxiA9G0fGR,"She is clothed with strength and dignity, and laughs without fear of the future.",6462,193,0,420069917,0,"Hilo, HI",Carol Ross,carolehua,5816
970073318211678208,2018-03-03 23:07:56,,,"[[-155.184552, 19.656471], [-155.184552, 19.738955], [-154.990994, 19.738955], [-154.990994, 19.656471]]",Hilo,0,Twitter for iPhone,"believe me when I say NO BITCH puts fear in my heart, &amp; I know NO BATUNA is better than me. &amp;, that’s something I b… https://t.co/qgcCAob2id","She is clothed with strength and dignity, and laughs without fear of the future.",6462,193,0,420069917,0,"Hilo, HI",Carol Ross,carolehua,5816
970072421871976448,2018-03-03 23:04:23,,,"[[-155.184552, 19.656471], [-155.184552, 19.738955], [-154.990994, 19.738955], [-154.990994, 19.656471]]",Hilo,0,Twitter for iPhone,@Kenzie2966 Gamble?,"I’m bitchin’, great hair, the boys all love to stare",7933,514,0,1928536567,1,"Nevada, USA",Sarah Kathryn 👑,almaraz_sarah,3437
