id,text,mortality_salience,i,we,you,they,posemo,negemo,anx,anger,sad,social,family,friend,cogproc,focuspast,focuspresent,focusfuture,relig,death
542,"Yes, I do, Grace Kehler is that you? I have given Warden  Jones a written statement that will explain a lot more. I hope this will bring  you closure and answers to some questions. I hope this will bring you peace and  I'm sorry for all the pain and suffering. I'm sorry it went on for a terribly  long time. I'm sorry to you especially Grace Kehler. To the Kehler, Johnson and  Crain family, I pray that you won't hate Jesus, the letter will explain more.  I'm sorry. I'm sorry. I hope that my death will bring you peace and closure. I  pray that maybe someday will bring you peace. I hope that you could forgive me,  but if you don't I understand. I don't think I could forgive anyone who would  of killed my children. I'm sorry for your suffering you've had for a long time.  I'm sorry, I'm sorry. I love you Lord Jesus, Lord Jesus.",1,14.56,0.0,7.59,0.0,7.59,8.86,0.0,1.27,6.33,13.92,0.63,0.0,17.09,3.16,16.46,8.86,4.43,1.27
541,"ëÇÕÑ_ëÇÕÑ_ëÇÕÑ_Yes sir, I would first like to say to the Sanchez family  how sorry I am.ëÇÕÑ_ëÇÕÑ_ Words cannot begin to express how sorryëÇÕÑ_ëÇÕÑ_ I am and  the hurt that I have caused you and your family.ëÇÕÑ_ëÇÕÑ_ May this bring you peace  and forgiveness. I am sorry.",1,10.87,0.0,6.52,0.0,4.35,8.7,0.0,0.0,8.7,19.57,4.35,0.0,15.22,0.0,17.39,2.17,0.0,0.0
540,"Yes, I made peace with God. I hope y'all make peace with this.",1,15.38,0.0,7.69,0.0,23.08,0.0,0.0,0.0,0.0,7.69,0.0,0.0,23.08,7.69,15.38,7.69,7.69,0.0
538,"I don't have anything to say, you can proceed Warden Jones.",1,9.09,0.0,9.09,0.0,0.0,0.0,0.0,0.0,0.0,18.18,0.0,0.0,9.09,0.0,36.36,0.0,0.0,0.0
537,"I just want to tell my family thank you, my mom and  dad and sister and Sabrina. I love you Mercedes. I am sorry to DavidëÇÕÑ_Õ_ë_s family.  This is only way that I can be forgiven. You got your justice right here.  ThatëÇÕÑ_Õ_ë_s it. My trust in Jesus.",1,14.0,0.0,8.0,0.0,8.0,2.0,0.0,0.0,2.0,26.0,10.0,0.0,4.0,2.0,16.0,0.0,2.0,0.0
536,"I would like to thank everyone that has showed up on my  behalf, Kathryn Cox, I love you dearly.ëÇÕÑ_ëÇÕÑ_ Thank you Randy Cannon for  showing up and being a lifelong friend.ëÇÕÑ_ëÇÕÑ_ Thank you Dr. Steve Ball for  trying to bring the right out.ëÇÕÑ_ëÇÕÑ_ There are a lot of injustices that are  happening with this.ëÇÕÑ_ëÇÕÑ_ This is wrong.ëÇÕÑ_ëÇÕÑ_ Thank you Reverend Leon  Harrison for showing me the grace of God.ëÇÕÑ_ëÇÕÑ_ Thank you for all of my friends  that are out there.ëÇÕÑ_ëÇÕÑ_ This is not a capital case.ëÇÕÑ_ëÇÕÑ_ I never had  intended to do anything.ëÇÕÑ_ëÇÕÑ_ I feel very grieved for the loss of Walker, and  for Donovan and Marissa Walker.ëÇÕÑ_ëÇÕÑ_ I hope they can find peace and be  productive in society.ëÇÕÑ_ëÇÕÑ_ I would like to thank all of my friends on the row  even though everything didnëÇÕÑ_Õ_ë_t work, close isnëÇÕÑ_Õ_ë_t good enough.ëÇÕÑ_ëÇÕÑ_ I hope that  positive change will come out of this.",1,7.24,0.0,3.29,0.66,10.53,1.97,0.0,0.0,1.32,8.55,0.0,1.97,13.16,1.32,14.47,1.97,0.66,0.66
535,"Yeah, first off, I want to say that I am sorry for the  pain that I have caused you people.ëÇÕÑ_ëÇÕÑ_ I am sorry that I cannot bring  everybody back.ëÇÕÑ_ëÇÕÑ_ I wish it could be different.ëÇÕÑ_ëÇÕÑ_ I know it would be  hard for you to understand what went on that night, I canëÇÕÑ_Õ_ë_t bring them back as  much as I would like to.ëÇÕÑ_ëÇÕÑ_ I love my daughter and all of my  supporters.ëÇÕÑ_ëÇÕÑ_ I pray that the Lord take care of me and all of you.ëÇÕÑ_ëÇÕÑ_ I  have no bad sentiment towards anyone.ëÇÕÑ_ëÇÕÑ_ I can understand your outrage and  why you are mad at me.ëÇÕÑ_ëÇÕÑ_ God be with all of us.",1,15.45,0.91,4.55,0.91,3.64,5.45,0.0,1.82,1.82,11.82,0.91,0.0,15.45,0.91,18.18,1.82,2.73,0.0
534,"To my family, to my mom, I love you. God bless you, stay strong. I'm done. ",1,25.0,0.0,12.5,0.0,18.75,0.0,0.0,0.0,0.0,31.25,12.5,0.0,0.0,6.25,12.5,0.0,12.5,0.0
532,"Sending me to a better place.ëÇÕÑ_ëÇÕÑ_ I am alright with  this, you have to live and die by the choices that we make.ëÇÕÑ_ëÇÕÑ_ I have made  mine.ëÇÕÑ_ëÇÕÑ_ I love you Renee, I am gonna carry your heart and always carry my  heart in your heart.ëÇÕÑ_ëÇÕÑ_ I am ready.",1,16.67,2.08,8.33,0.0,8.33,0.0,0.0,0.0,0.0,14.58,0.0,0.0,8.33,2.08,20.83,2.08,0.0,2.08
531,"Yes, I would like to thank all of my supporters and  loved ones.ëÇÕÑ_ëÇÕÑ_ I love you, love yëÇÕÑ_Õ_ë_all, always going to be with yëÇÕÑ_Õ_ë_all.ëÇÕÑ_ëÇÕÑ_  Thank you Warden.",1,10.34,0.0,6.9,0.0,24.14,0.0,0.0,0.0,0.0,17.24,0.0,0.0,17.24,0.0,10.34,3.45,0.0,0.0
