id,created_at,geo_coords,hashtag,place_coords,place_name,retweet_count,source,text,user_description,user_favourites_count,user_followers_count,user_friends_count,user_id,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,mortality_salience
952240577071984640,2018-01-13 18:07:00,,,"[[-97.839309, 31.10447], [-97.839309, 31.161093], [-97.722373, 31.161093], [-97.722373, 31.10447]]",Fort Hood,0,Twitter for Android,Our new kitten thinks Kyle's his mom and sucked his nipple this morning while Kyle was trying to sleep ð,Photographer ð¸ Fur mom ð¶ð¶ð¶ð±ð±,5882,172,0,887652411741011968,0,"Texas, USA",Brooklyn Russell,brookrussell13,1154,19,21.43,98.19,4.05,1.0,19.0,5.26,84.21,42.11,21.05,15.79,0.0,5.26,0.0,10.53,0.0,5.26,0.0,5.26,5.26,0.0,10.53,0.0,21.05,5.26,0.0,0.0,0.0,0.0,5.26,0.0,5.26,0.0,5.26,0.0,21.05,5.26,0.0,5.26,10.53,10.53,5.26,0.0,0.0,5.26,0.0,0.0,0.0,0.0,0.0,0.0,10.53,10.53,0.0,5.26,0.0,10.53,5.26,5.26,0.0,0.0,0.0,10.53,5.26,0.0,15.79,0.0,0.0,15.79,0.0,0.0,0.0,0.0,0.0,0.0,5.26,5.26,0.0,0.0,0.0,0.0,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.26,0.0,0.0,1
952240577667649537,2018-01-13 18:07:00,,,"[[-72.691068, 40.800933], [-72.691068, 40.853361], [-72.617182, 40.853361], [-72.617182, 40.800933]]",Westhampton,0,Twitter for iPhone,@BreitbartNews Todd you are implying that only whites are intelligent.,#Boycott Hamilton,54127,446,0,4874672487,58,"Westhampton, NY",Dolly,DollyZ96,76583,10,1.8,97.69,1.0,99.0,10.0,30.0,70.0,50.0,20.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,20.0,10.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1
952240578925907968,2018-01-13 18:07:00,,,"[[-71.289902, 42.352885], [-71.289902, 42.436021], [-71.194241, 42.436021], [-71.194241, 42.352885]]",Waltham,0,Twitter for iPhone,All Money ainât Good Money,You look lost...........................Follow Me! Ig:Real_dashing,5303,280,0,2259375063,4,New York / Massachusetts,DÃÂ§ÅÅ,real_dashing,10299,5,8.19,1.0,43.37,99.0,5.0,0.0,100.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,1
952240580612026368,2018-01-13 18:07:00,,,"[[-89.57151, 36.497129], [-89.57151, 39.147359], [-81.964971, 39.147359], [-81.964971, 36.497129]]",Kentucky,0,Twitter for iPhone,@mika_elaine29 I was suppose to work but fuck that shit,sneaker collector #sneakerfreak #longlivep rest up p ya name gone live through me. #longlivesteezy #solecollector ig: Hegotkickz_95 YouTube channel : Hegotkickz,2581,906,0,578565590,2,"Sneakerville, USA",Forrest Ferguson,Hegotkickz_95,6691,11,31.44,1.0,31.94,1.0,11.0,18.18,81.82,45.45,18.18,9.09,9.09,0.0,0.0,0.0,0.0,9.09,0.0,9.09,9.09,0.0,9.09,0.0,27.27,0.0,0.0,0.0,0.0,0.0,18.18,0.0,18.18,0.0,18.18,0.0,0.0,0.0,0.0,0.0,0.0,18.18,0.0,0.0,0.0,9.09,0.0,9.09,0.0,0.0,0.0,0.0,18.18,9.09,0.0,9.09,0.0,9.09,0.0,9.09,0.0,0.0,0.0,9.09,27.27,0.0,0.0,0.0,0.0,0.0,9.09,0.0,0.0,0.0,0.0,0.0,18.18,18.18,0.0,0.0,0.0,0.0,18.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.18,1
952240581278920705,2018-01-13 18:07:01,,,"[[-86.233407, 40.40379], [-86.233407, 40.541662], [-86.051017, 40.541662], [-86.051017, 40.40379]]",Kokomo,0,Twitter for Android,Irritated i had to stop what I was doing for this damn orientation lmao. Like why did they have to reschedule it for today,121816ð¶ð,11450,454,0,2916543286,1,765,Mehkis mommyð,CJaaaacks,24145,24,26.8,10.58,23.51,1.0,12.0,12.5,91.67,70.83,25.0,12.5,8.33,0.0,0.0,0.0,4.17,12.5,0.0,20.83,20.83,4.17,0.0,0.0,20.83,0.0,4.17,8.33,0.0,0.0,12.5,4.17,8.33,4.17,4.17,0.0,4.17,0.0,0.0,0.0,0.0,4.17,0.0,4.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.17,0.0,0.0,0.0,0.0,4.17,12.5,8.33,0.0,8.33,0.0,0.0,8.33,0.0,0.0,0.0,0.0,0.0,0.0,8.33,8.33,4.17,0.0,0.0,0.0,4.17,4.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
952240582298025984,2018-01-13 18:07:01,,,"[[-122.436232, 47.495315], [-122.436232, 47.734319], [-122.224973, 47.734319], [-122.224973, 47.495315]]",Seattle,0,Twitter for iPhone,"@Pdweanwa7654 @odtorson @tomfgoodwin @mims @Give_Directly But more important than my political leanings, Iâm a pragâ¦ https://t.co/vfkYYmjE3U","Created the Open Artificial Pancreas (@OpenAPS) with @DanaMLewis. Day job @DLVRmedia. DMs are open, or email Scott@OpenAPS.org.",28903,2331,0,296585634,173,"Seattle
",Scott Leibrand,scottleibrand,23141,21,78.35,7.67,68.01,95.81,21.0,38.1,52.38,23.81,9.52,9.52,9.52,0.0,0.0,0.0,0.0,0.0,4.76,4.76,4.76,0.0,4.76,0.0,9.52,14.29,9.52,0.0,0.0,4.76,4.76,4.76,0.0,0.0,0.0,0.0,4.76,0.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0,0.0,4.76,9.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.52,0.0,0.0,9.52,0.0,0.0,0.0,9.52,0.0,4.76,0.0,4.76,0.0,4.76,0.0,0.0,0.0,0.0,0.0,4.76,0.0,4.76,0.0,0.0,0.0,57.14,9.52,4.76,0.0,0.0,0.0,0.0,0.0,0.0,4.76,0.0,38.1,1
952240582885298176,2018-01-13 18:07:01,,,"[[-83.690916, 41.348047], [-83.690916, 41.426132], [-83.600702, 41.426132], [-83.600702, 41.348047]]",Bowling Green,0,Twitter for iPhone,@sara_welter99 @hannahmswartz Miss you too!!,â¢OU '20â¢,12767,762,0,1173469735,3,Big Dipper,Maddie Stephey,madstephey,3678,6,17.96,99.0,1.0,1.0,6.0,33.33,50.0,33.33,16.67,16.67,0.0,0.0,16.67,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0,0.0,16.67,0.0,0.0,0.0,0.0,0.0,16.67,0.0,16.67,0.0,0.0,16.67,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.33,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,50.0,1
952240583153602560,2018-01-13 18:07:01,,,"[[-111.083219, 32.057802], [-111.083219, 32.320979], [-110.747928, 32.320979], [-110.747928, 32.057802]]",Tucson,0,Twitter for Android,"@HikerWriterBeth Woman, I couldn't have asked for better guidance in the form of a dream.ð","QuÃ© pasa, nerds?",3204,220,0,32761113,3,"Tucson, AZ ðµ",Manda,Mannabee,16191,15,97.34,50.0,10.08,99.0,15.0,20.0,86.67,53.33,6.67,6.67,6.67,0.0,0.0,0.0,0.0,0.0,13.33,20.0,13.33,0.0,0.0,6.67,20.0,6.67,6.67,0.0,0.0,0.0,6.67,6.67,0.0,0.0,0.0,0.0,13.33,0.0,0.0,6.67,0.0,6.67,0.0,0.0,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67,0.0,6.67,0.0,6.67,0.0,6.67,6.67,0.0,13.33,6.67,6.67,0.0,0.0,13.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.67,6.67,6.67,0.0,0.0,0.0,0.0,0.0,0.0,6.67,0.0,6.67,1
952240583514427393,2018-01-13 18:07:01,,math,"[[-75.563587, 38.788657], [-75.563587, 41.357424], [-73.88506, 41.357424], [-73.88506, 38.788657]]",New Jersey,0,Twitter for Android,Great #math Tournament in Woodbridge NJ today. Stay tuned for FB album to come. https://t.co/Y1uGvlFeOm,Perennial Math online competition grades 3-12 for team and individual student participation.  Also specializing in Live and Virtual Tournaments- Math is Cool!,344,359,0,379702091,35,"Huntsville, AL",Perennial Math,perennialmath,5672,19,99.0,70.08,50.35,97.58,6.33,15.79,52.63,15.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.79,0.0,0.0,0.0,0.0,10.53,5.26,0.0,0.0,0.0,0.0,5.26,5.26,0.0,0.0,0.0,0.0,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.53,5.26,0.0,0.0,5.26,0.0,0.0,15.79,0.0,21.05,10.53,10.53,5.26,5.26,0.0,0.0,0.0,0.0,0.0,10.53,0.0,10.53,0.0,0.0,0.0,31.58,15.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.79,1
952240584877633537,2018-01-13 18:07:01,"40.007512, -75.217067",WordOfTheDay; Sparkle; twinkle; star,"[[-80.519851, 39.719801], [-80.519851, 42.516072], [-74.689517, 42.516072], [-74.689517, 39.719801]]",Pennsylvania,0,Instagram,"#WordOfTheDay!!! May we all #Sparkle, #twinkle, and be a #star! 610-664-8830 to make yourâ¦ https://t.co/OzVdoBej10","RN, BSN, DON, Nurse Injector, Aesthetic Nurse, Cosmetologist; aiming to always be ambitious, compassionate, and benevolent.",64,50,0,32274128,0,"Philadelphia, PA",Robyn Berger,redrobyn77,127,21,67.14,97.14,1.0,25.77,7.0,19.05,47.62,33.33,9.52,9.52,0.0,4.76,4.76,0.0,0.0,0.0,4.76,4.76,9.52,0.0,4.76,0.0,14.29,0.0,0.0,0.0,14.29,4.76,0.0,0.0,0.0,0.0,0.0,0.0,9.52,0.0,0.0,0.0,0.0,14.29,0.0,4.76,0.0,4.76,4.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76,4.76,0.0,0.0,0.0,0.0,0.0,9.52,4.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76,0.0,4.76,0.0,0.0,0.0,76.19,9.52,9.52,0.0,0.0,0.0,19.05,9.52,0.0,0.0,0.0,28.57,1
