id,created_at,geo_coords,hashtag,place_coords,place_name,retweet_count,source,text,user_description,user_favourites_count,user_followers_count,user_friends_count,user_id,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,mortality_salience
952240578925907968,2018-01-13 18:07:00,,,"[[-71.289902, 42.352885], [-71.289902, 42.436021], [-71.194241, 42.436021], [-71.194241, 42.352885]]",Waltham,0,Twitter for iPhone,All Money ainât Good Money,You look lost...........................Follow Me! Ig:Real_dashing,5303,280,0,2259375063,4,New York / Massachusetts,DÃÂ§ÅÅ,real_dashing,10299,5,8.19,1.0,43.37,99.0,5.0,0.0,100.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,1
952240581018832897,2018-01-13 18:07:00,,,"[[-89.57151, 36.497129], [-89.57151, 39.147359], [-81.964971, 39.147359], [-81.964971, 36.497129]]",Kentucky,0,Twitter for iPhone,"@TNGridironScout @Bigwill46798139 Submitted my info, Ky",class of '19 | OL-C/DL,1280,311,0,2662884461,3,"Bowling Green, KY",Matt Mellencamp,Matt_mellencamp,733,6,60.8,4.8,98.01,25.77,6.0,50.0,50.0,16.67,16.67,16.67,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0,0.0,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,1
952240581278920705,2018-01-13 18:07:01,,,"[[-86.233407, 40.40379], [-86.233407, 40.541662], [-86.051017, 40.541662], [-86.051017, 40.40379]]",Kokomo,0,Twitter for Android,Irritated i had to stop what I was doing for this damn orientation lmao. Like why did they have to reschedule it for today,121816ð¶ð,11450,454,0,2916543286,1,765,Mehkis mommyð,CJaaaacks,24145,24,26.8,10.58,23.51,1.0,12.0,12.5,91.67,70.83,25.0,12.5,8.33,0.0,0.0,0.0,4.17,12.5,0.0,20.83,20.83,4.17,0.0,0.0,20.83,0.0,4.17,8.33,0.0,0.0,12.5,4.17,8.33,4.17,4.17,0.0,4.17,0.0,0.0,0.0,0.0,4.17,0.0,4.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.17,0.0,0.0,0.0,0.0,4.17,12.5,8.33,0.0,8.33,0.0,0.0,8.33,0.0,0.0,0.0,0.0,0.0,0.0,8.33,8.33,4.17,0.0,0.0,0.0,4.17,4.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
952240581677207552,2018-01-13 18:07:01,,,"[[-104.858332, 39.565982], [-104.858332, 39.589461], [-104.784933, 39.589461], [-104.784933, 39.565982]]",Dove Valley,1,Twitter for Android,"@Truth2point0 @CitizenProj Any info on this, patriots??","Proud American, Woman, Wife, Mother, Republican.I support the Constitution and our Military, as well as a government for the PEOPLE,and most of all...the Truth.",3655,1443,0,785895930,3,"Denver, CO",Lindsay Hommel,RoseNDreGrl,3398,7,92.84,50.0,89.63,99.0,7.0,42.86,71.43,28.57,14.29,0.0,0.0,0.0,0.0,0.0,0.0,14.29,0.0,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,14.29,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.86,14.29,0.0,0.0,14.29,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,0.0,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.43,0.0,14.29,0.0,0.0,28.57,0.0,0.0,0.0,0.0,0.0,28.57,1
952240585015934976,2018-01-13 18:07:01,,,"[[-116.453164, 43.473902], [-116.453164, 43.521123], [-116.398828, 43.521123], [-116.398828, 43.473902]]",Kuna,0,Twitter for Android,We had 122 future MAVS working on their game this morning! Great 2 c so many young players in our gym!â¦ https://t.co/c9B6pOKonj,"Varsity Boys Basketball coach at Mt. View HS post scores, mav & bball related infoð¤ #mavhoops married 20 yrs & one awesome son! WI â ID PACKER/BADGER Fan!",2057,509,0,1214089292,9,"Meridian, ID",Jon Nettleton,CoachNettleton,1995,26,53.63,98.93,38.39,89.84,13.0,15.38,65.38,30.77,15.38,11.54,0.0,7.69,0.0,0.0,3.85,3.85,0.0,7.69,3.85,3.85,3.85,0.0,7.69,7.69,0.0,0.0,7.69,3.85,3.85,3.85,0.0,0.0,0.0,0.0,15.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.23,11.54,3.85,0.0,3.85,0.0,3.85,0.0,3.85,19.23,0.0,7.69,11.54,3.85,7.69,0.0,0.0,0.0,0.0,3.85,0.0,3.85,0.0,0.0,0.0,23.08,7.69,0.0,0.0,0.0,0.0,7.69,0.0,0.0,0.0,0.0,7.69,1
952240587519832064,2018-01-13 18:07:02,,,"[[-117.296536, 33.858759], [-117.296536, 33.985089], [-117.139304, 33.985089], [-117.139304, 33.858759]]",Moreno Valley,0,Twitter for iPhone,Overthinking sucks,Be happy â¨,10,724,0,276355787,1,,Desiree,dez4rae,61647,2,92.84,1.0,1.0,1.0,2.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
952240592226082818,2018-01-13 18:07:03,,,"[[-83.166537, 42.525547], [-83.166537, 42.54828], [-83.126674, 42.54828], [-83.126674, 42.525547]]",Clawson,0,Twitter for iPhone,Why I just randomly look in my drafts and find this â ï¸â ï¸â ï¸â ï¸,WSU '19 #BrodieSZN,35004,919,0,713103834,19,"Royal Oak, MI",â¼ï¸OKC 2018 CHAMPSâ¼ï¸,crackrock_corb,43172,11,3.76,3.48,99.0,25.77,11.0,9.09,90.91,63.64,27.27,18.18,18.18,0.0,0.0,0.0,0.0,9.09,0.0,9.09,0.0,18.18,9.09,0.0,18.18,0.0,0.0,9.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.27,9.09,9.09,0.0,9.09,0.0,0.0,9.09,9.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.18,0.0,9.09,0.0,9.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
952240592670531584,2018-01-13 18:07:03,,,"[[-122.436232, 47.495315], [-122.436232, 47.734319], [-122.224973, 47.734319], [-122.224973, 47.495315]]",Seattle,0,Twitter for iPhone,I just wanna go shopping ð­ð­,I am happy with who i am. I live life to the fullest. I am not perfect. Love me or hate me...YA DIGG!,4709,328,0,172538091,11,"Seattle,Wa",Shannon Nicole,shannonGnicole,29687,5,1.0,2.31,43.37,25.77,5.0,20.0,100.0,60.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
952240594549587968,2018-01-13 18:07:04,"39.790900, -86.147700",,"[[-86.348441, 39.631677], [-86.348441, 39.927448], [-85.937404, 39.927448], [-85.937404, 39.631677]]",Indianapolis,0,Instagram,"Hello, please when you can: 1. Click on my profile 2. Click on the link in my profile 3. Listenâ¦ https://t.co/BnfMArbM7b",to challenge. keep yo heart 3 stacks. FirstClassmgmt1@gmail.com,717,221,0,3302357073,2,threeonesev.,cjthegeniusð§ ,cjthegenius,4356,25,81.4,78.82,96.63,91.14,6.25,12.0,64.0,36.0,12.0,12.0,8.0,0.0,4.0,0.0,0.0,0.0,4.0,12.0,4.0,4.0,4.0,0.0,4.0,0.0,0.0,4.0,12.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,20.0,0.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,36.0,20.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1
952240595350646784,2018-01-13 18:07:04,,,"[[-122.790065, 45.421863], [-122.790065, 45.650941], [-122.471751, 45.650941], [-122.471751, 45.421863]]",Portland,0,Twitter for Android,"@RediRoc215 Lol yeah I did, I can't remember what happened in that scene though.","In the end, love will always win.  INTP.",34887,346,0,725221538421690368,27,"Portland, OR",Love ð,ylggly,97335,14,1.8,1.0,99.0,99.0,14.0,21.43,85.71,57.14,28.57,14.29,14.29,0.0,0.0,0.0,0.0,14.29,0.0,7.14,7.14,7.14,7.14,7.14,21.43,0.0,0.0,7.14,0.0,0.0,7.14,7.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.43,7.14,0.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.43,7.14,0.0,7.14,0.0,7.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,0.0,7.14,7.14,0.0,0.0,28.57,7.14,7.14,0.0,0.0,0.0,0.0,0.0,0.0,7.14,0.0,7.14,1
